node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
10,2,utility_2,add,spearman,0.055518797,0.055750105
10,2,utility_1,add,spearman,0.372090226,0.341761277
10,2,utility_3,add,spearman,0.071238095,0.068569009
10,4,utility_2,add,spearman,0.044010025,0.042453779
10,3,utility_1,multiply,kendall,0.109943003,0.106654499
10,3,utility_2,add,kendall,0.050644667,0.048409812
10,4,utility_3,add,spearman,-0.003769424,-0.004385896
10,3,utility_2,multiply,kendall,0.033082614,0.032070475
10,3,utility_3,add,kendall,0.007973597,0.008590896
10,4,utility_2,multiply,spearman,0.042205514,0.041744111
10,3,utility_3,multiply,kendall,0.028689477,0.028205661
10,4,utility_1,multiply,spearman,0.045754386,0.044521939
10,4,utility_1,add,spearman,0.044370927,0.044716502
10,3,utility_1,add,kendall,0.105826664,0.101863453
10,4,utility_3,multiply,spearman,-0.006155388,-0.006707458
10,2,utility_2,multiply,spearman,0.045353383,0.045442455
10,2,utility_1,add,kendall,0.305456575,0.28616698
10,2,utility_3,multiply,spearman,0.110756892,0.104906587
10,2,utility_3,add,kendall,0.051674499,0.050750075
10,2,utility_1,multiply,spearman,0.388290727,0.355028047
10,2,utility_2,add,kendall,0.035686461,0.036149184
10,3,utility_1,multiply,spearman,0.1600401,0.151836907
10,4,utility_3,add,kendall,0.000245596,8.56E-05
10,3,utility_3,add,spearman,0.008,0.009647396
10,4,utility_2,add,kendall,0.035484468,0.034805746
10,3,utility_3,multiply,spearman,0.036892231,0.036314874
10,4,utility_1,multiply,kendall,0.035304304,0.035700195
10,4,utility_1,add,kendall,0.035375008,0.036174628
10,3,utility_1,add,spearman,0.142696742,0.134581742
10,3,utility_2,add,spearman,0.067528822,0.062084352
10,4,utility_3,multiply,kendall,0.000458957,0.000323894
10,3,utility_2,multiply,spearman,0.051047619,0.04842612
10,4,utility_2,multiply,kendall,0.032599736,0.032407582
10,2,utility_3,multiply,kendall,0.075872747,0.073616539
10,2,utility_2,multiply,kendall,0.026799278,0.027308336
10,2,utility_1,multiply,kendall,0.312050837,0.290751268
